cpcode,capacity_group,region_num,endpoint_name,timestamp,in_utilization,in_demand,in_dropped_bytes,out_utilization,out_demand,out_dropped_bytes
2222,6,90,906,"Sat, 15 Aug 2015 10:31:56 GMT",1028825,1031222,0,7168,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:02 GMT",1993750,3091763,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:02 GMT",1032368,1032368,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:02 GMT",1031222,1033619,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:02 GMT",1032720,1035116,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:08 GMT",1992313,3090326,0,19827,37126,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:08 GMT",1033619,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:08 GMT",1031222,1033619,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:08 GMT",1031222,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:14 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:14 GMT",1033619,1033619,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:14 GMT",1033619,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:14 GMT",1031222,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:20 GMT",1993750,3091484,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:20 GMT",1032368,1032368,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:20 GMT",1031222,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:20 GMT",1035116,1032720,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:26 GMT",1992281,3092412,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:26 GMT",1031574,1031574,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:26 GMT",1032720,1035116,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:26 GMT",1031222,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:32 GMT",1993750,3091484,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:32 GMT",1033619,1033619,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:32 GMT",1033606,1031209,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:32 GMT",1033587,1031190,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:38 GMT",1992988,3090723,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:38 GMT",1034649,1034649,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:38 GMT",1031158,1031158,0,12659,15020,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:38 GMT",1032720,1035116,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:44 GMT",1993043,3093452,0,12659,12659,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:44 GMT",1014912,1031689,0,7168,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:44 GMT",1032720,1032720,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:44 GMT",1033619,1031222,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:50 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:50 GMT",1031222,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:50 GMT",1033587,1033587,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:50 GMT",1031190,1033587,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:32:56 GMT",1992460,3090473,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:32:56 GMT",1031222,1033619,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:32:56 GMT",1031158,1031158,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:32:56 GMT",1031222,1028825,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:02 GMT",1992134,3092265,0,19827,37126,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:02 GMT",1017296,1029280,0,2624,19923,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:02 GMT",1033619,1033619,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:02 GMT",1032368,1032368,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:08 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:08 GMT",1031222,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:08 GMT",1014444,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:08 GMT",1014444,1031222,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:14 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:14 GMT",1031222,1031222,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:14 GMT",1015942,1035116,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:14 GMT",1014796,1033971,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:20 GMT",1993750,3091484,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:20 GMT",1031190,1033587,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:20 GMT",1031222,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:20 GMT",1031222,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:26 GMT",1992281,3090294,0,12659,12659,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:26 GMT",1018307,1032688,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:26 GMT",1031190,1033587,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:26 GMT",1031209,1031209,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:32 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:32 GMT",1031542,1031542,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:32 GMT",1032720,1032720,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:32 GMT",1031472,1031472,0,2444,2444,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:38 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:38 GMT",1014444,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:38 GMT",1033619,1033619,0,14252,14252,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:38 GMT",1031222,1033619,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:44 GMT",1992300,3090313,0,19827,34764,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:44 GMT",1031209,1033606,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:44 GMT",1031222,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:44 GMT",1033619,1031222,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:50 GMT",1993750,3091484,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:50 GMT",1034028,1031632,0,2624,22284,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:50 GMT",1031190,1033587,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:50 GMT",1032368,1032368,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:33:56 GMT",1992281,3092412,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:33:56 GMT",1034553,1034553,0,19744,18918,0
2222,7,90,907,"Sat, 15 Aug 2015 10:33:56 GMT",1029939,1032336,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:33:56 GMT",1026780,1033971,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:02 GMT",1990844,3088857,0,19827,37126,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:02 GMT",1014444,1031222,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:02 GMT",1033619,1033619,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:02 GMT",1033619,1033619,0,9529,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:08 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:08 GMT",1031222,1033619,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:08 GMT",1031222,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:08 GMT",1032336,1032336,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:14 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:14 GMT",1035084,1032688,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:14 GMT",1034764,1034764,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:14 GMT",1031574,1031574,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:20 GMT",1993750,3089088,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:20 GMT",1031222,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:20 GMT",1031574,1031574,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:20 GMT",1031222,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:26 GMT",1992281,3092412,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:26 GMT",1031190,1033587,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:26 GMT",1031222,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:26 GMT",1033587,1031190,0,19923,39584,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:32 GMT",1992281,3090016,0,2444,83,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:32 GMT",1032720,1035116,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:32 GMT",1032355,1032355,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:32 GMT",1031574,1031574,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:39 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:39 GMT",1033619,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:39 GMT",1033971,1033971,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:39 GMT",1028793,1031190,0,2444,2444,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:45 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:45 GMT",1031222,1031222,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:45 GMT",1031222,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:45 GMT",1033619,1033619,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:51 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:51 GMT",1033619,1033619,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:51 GMT",1031190,1031190,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:51 GMT",1034764,1032368,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:34:57 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:34:57 GMT",1018275,1032656,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:34:57 GMT",1032720,1035116,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:34:57 GMT",1032825,1032825,0,9612,9612,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:03 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:03 GMT",1033619,1033619,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:03 GMT",1034764,1034764,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:03 GMT",1031574,1031574,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:09 GMT",1992460,3090473,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:09 GMT",1031190,1031190,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:09 GMT",1031542,1031542,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:09 GMT",1031222,1033619,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:15 GMT",1992134,3092265,0,19827,37126,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:15 GMT",1031222,1031222,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:15 GMT",1031222,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:15 GMT",1033619,1031222,0,15020,19744,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:21 GMT",1993750,3089088,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:21 GMT",1031190,1033587,0,2444,2444,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:21 GMT",1031222,1033619,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:21 GMT",1034764,1034764,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:27 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:27 GMT",1032720,1030323,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:27 GMT",1034764,1032368,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:27 GMT",1031574,1031574,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:33 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:33 GMT",1033619,1031222,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:33 GMT",1028825,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:33 GMT",1031222,1033619,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:39 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:39 GMT",1031222,1031222,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:39 GMT",1033619,1031222,0,11891,9529,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:39 GMT",1033619,1031222,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:45 GMT",1993750,3091484,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:45 GMT",1032688,1035084,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:45 GMT",207622,207622,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:45 GMT",207622,207622,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:51 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:51 GMT",1033555,1031158,0,2444,2444,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:51 GMT",0,0,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:51 GMT",0,0,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:35:57 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:35:57 GMT",1024000,1033587,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:35:57 GMT",0,0,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:35:57 GMT",0,0,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:03 GMT",1992281,3090016,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:03 GMT",1027926,1035116,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:03 GMT",1016243,1025830,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:03 GMT",1035084,1032688,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:09 GMT",1993750,3091484,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:09 GMT",1012048,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:09 GMT",1004259,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:09 GMT",1031222,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:15 GMT",1992281,3092412,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:15 GMT",1002460,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:15 GMT",1001862,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:15 GMT",1033484,1031088,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:21 GMT",1992281,3090016,0,12659,12659,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:21 GMT",1021622,1033606,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:21 GMT",1016243,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:21 GMT",1031107,1031107,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:27 GMT",1993750,3091763,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:27 GMT",1030323,1032720,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:27 GMT",1013846,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:27 GMT",1034732,1034732,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:33 GMT",1992281,3090016,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:33 GMT",1021603,1031190,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:33 GMT",1018640,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:33 GMT",1014444,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:39 GMT",1993750,3091484,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:39 GMT",1019225,1031209,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:39 GMT",1013846,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:39 GMT",1031222,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:45 GMT",1992281,3092412,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:45 GMT",1035116,1035116,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:45 GMT",1023433,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:45 GMT",1034764,1032368,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:51 GMT",1993750,3091484,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:51 GMT",1009651,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:51 GMT",1001862,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:51 GMT",1031574,1031574,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:36:57 GMT",1992281,3090016,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:36:57 GMT",1033619,1033619,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:36:57 GMT",1028227,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:36:57 GMT",1034604,1034604,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:03 GMT",1992281,3090016,0,11891,11891,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:03 GMT",1013328,1032585,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:03 GMT",1006656,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:03 GMT",1031222,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:09 GMT",1992281,3092412,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:09 GMT",1019289,1033587,0,12659,15020,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:09 GMT",1013846,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:09 GMT",1033587,1033587,0,2444,2444,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:15 GMT",1993750,3091484,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:15 GMT",1031222,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:15 GMT",1030624,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:15 GMT",1032368,1032368,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:21 GMT",1992281,3090016,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:21 GMT",1033619,1033619,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:21 GMT",1028227,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:21 GMT",1031574,1033971,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:27 GMT",1993750,3093881,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:27 GMT",1032368,1032368,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:27 GMT",1030624,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:27 GMT",1033619,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:33 GMT",1992281,3092412,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:33 GMT",1031222,1033619,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:33 GMT",1025830,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:33 GMT",1034764,1034764,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:39 GMT",1992300,3090592,0,19827,37126,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:39 GMT",1033619,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:39 GMT",1030624,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:39 GMT",1029177,1029177,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:45 GMT",1992281,3090016,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:45 GMT",1034764,1034764,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:45 GMT",1028227,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:45 GMT",1031222,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:51 GMT",1993750,3091484,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:51 GMT",1031222,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:51 GMT",1028227,1030624,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:51 GMT",1031177,1033574,0,7168,2444,0
2222,5,95,955,"Sat, 15 Aug 2015 10:37:57 GMT",1993750,3091484,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:37:57 GMT",1033587,1033587,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:37:57 GMT",1025830,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:37:57 GMT",1033971,1033971,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:38:03 GMT",1992281,3090016,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:38:03 GMT",1031222,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:38:03 GMT",1030624,1028227,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:38:03 GMT",1031190,1031190,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:38:09 GMT",1992281,3090294,0,12659,12659,0
2222,7,90,907,"Sat, 15 Aug 2015 10:38:09 GMT",1002448,1033606,0,4806,4806,0
